area_peril_id,lon,lat,peril_id,coverage_type
168,114.3985,-8.12748,QTS,1
169,114.39866,-8.12741,QTS,1
170,114.39873,-8.12724,QTS,1
171,114.3988,-8.12751,QTS,1
172,114.39884,-8.12768,QTS,1
173,114.39904,-8.12811,QTS,1
174,114.39915,-8.12832,QTS,1
175,114.39912,-8.12781,QTS,1
176,114.39915,-8.12798,QTS,1
177,114.40086,-8.13146,QTS,1
178,114.39939,-8.12865,QTS,1
179,114.39956,-8.12878,QTS,1
180,114.39969,-8.1287,QTS,1
181,114.39991,-8.13029,QTS,1
182,114.40018,-8.13067,QTS,1
183,114.40047,-8.13111,QTS,1
184,114.40055,-8.13141,QTS,1
185,114.40127,-8.13232,QTS,1
186,114.39924,-8.1287,QTS,1
187,114.39989,-8.12984,QTS,1
188,114.3999,-8.13048,QTS,1
189,114.4,-8.13063,QTS,1
190,114.39935,-8.12899,QTS,1
191,114.39951,-8.12922,QTS,1
192,114.39956,-8.12936,QTS,1
193,114.39972,-8.1299,QTS,1
194,114.40145,-8.13452,QTS,1
195,114.39958,-8.12976,QTS,1
196,114.40129,-8.13463,QTS,1
197,114.40133,-8.1352,QTS,1
198,114.40131,-8.13484,QTS,1
199,114.40118,-8.1351,QTS,1
200,114.40116,-8.13494,QTS,1
201,114.4011,-8.13567,QTS,1
202,114.401,-8.13596,QTS,1
203,114.40193,-8.14736,QTS,1
204,106.01673,-5.90299,QTS,1
205,114.4019,-8.14753,QTS,1
206,114.40203,-8.1478,QTS,1
207,106.01672,-5.90281,QTS,1
208,106.01685,-5.90249,QTS,1
209,114.40105,-8.14521,QTS,1
210,114.40131,-8.14646,QTS,1
211,114.40185,-8.14786,QTS,1
212,114.40183,-8.14802,QTS,1
213,114.40188,-8.14832,QTS,1
214,114.40065,-8.1376,QTS,1
215,106.01748,-5.90181,QTS,1
216,106.01789,-5.90171,QTS,1
217,106.01808,-5.90166,QTS,1
218,114.40075,-8.13913,QTS,1
219,114.4008,-8.14494,QTS,1
220,114.40093,-8.14534,QTS,1
221,114.40104,-8.14551,QTS,1
222,114.40106,-8.14583,QTS,1
223,114.40171,-8.14774,QTS,1
224,114.40167,-8.14809,QTS,1
225,114.40169,-8.14828,QTS,1
226,114.40071,-8.13777,QTS,1
227,106.01562,-5.90402,QTS,1
228,106.0173,-5.90183,QTS,1
229,106.01797,-5.90126,QTS,1
230,114.40068,-8.13928,QTS,1
231,114.40062,-8.13899,QTS,1
232,114.40038,-8.14022,QTS,1
233,114.40054,-8.14292,QTS,1
234,114.40055,-8.14334,QTS,1
235,114.40075,-8.14471,QTS,1
236,114.40062,-8.14506,QTS,1
237,114.40077,-8.14535,QTS,1
238,114.40096,-8.14566,QTS,1
239,114.40151,-8.1478,QTS,1
240,114.40149,-8.14799,QTS,1
241,106.01559,-5.90385,QTS,1
242,106.01744,-5.90147,QTS,1
243,114.40047,-8.13958,QTS,1
244,114.4005,-8.13928,QTS,1
245,114.40046,-8.139,QTS,1
246,114.40042,-8.1399,QTS,1
247,114.4003,-8.14004,QTS,1
248,114.4004,-8.14236,QTS,1
249,114.40041,-8.14256,QTS,1
250,114.40035,-8.14294,QTS,1
251,114.40041,-8.14345,QTS,1
252,114.40047,-8.14358,QTS,1
253,114.40058,-8.144,QTS,1
254,114.40055,-8.14465,QTS,1
255,114.40063,-8.14523,QTS,1
256,114.40069,-8.1455,QTS,1
257,114.40077,-8.14565,QTS,1
258,106.01545,-5.90379,QTS,1
259,106.01544,-5.90359,QTS,1
260,114.40035,-8.13972,QTS,1
261,114.4004,-8.13942,QTS,1
262,114.4004,-8.13915,QTS,1
263,114.40023,-8.14205,QTS,1
264,114.40027,-8.14264,QTS,1
265,114.40042,-8.14373,QTS,1
266,114.40056,-8.14384,QTS,1
267,114.40046,-8.14413,QTS,1
268,114.40048,-8.14446,QTS,1
269,114.40065,-8.1458,QTS,1
270,106.01845,-5.89626,QTS,1
271,114.40021,-8.13936,QTS,1
272,114.40021,-8.13919,QTS,1
273,114.40018,-8.14127,QTS,1
274,114.40008,-8.14191,QTS,1
275,114.4001,-8.14255,QTS,1
276,114.4016,-8.15044,QTS,1
277,114.40014,-8.1417,QTS,1
278,114.39997,-8.14266,QTS,1
279,114.40056,-8.14718,QTS,1
280,114.40074,-8.14751,QTS,1
281,114.40082,-8.14768,QTS,1
282,106.00438,-5.92296,QTS,1
283,114.40047,-8.14703,QTS,1
284,114.40047,-8.14732,QTS,1
285,114.40054,-8.14749,QTS,1
286,114.40072,-8.14785,QTS,1
287,114.40122,-8.15091,QTS,1
288,114.40126,-8.15107,QTS,1
289,106.00373,-5.923,QTS,1
290,106.0035,-5.92303,QTS,1
291,114.40029,-8.14702,QTS,1
292,114.40031,-8.1473,QTS,1
293,114.40043,-8.1476,QTS,1
294,114.40055,-8.14787,QTS,1
295,106.00431,-5.92251,QTS,1
296,106.00402,-5.92275,QTS,1
297,106.00381,-5.92277,QTS,1
298,106.00338,-5.92282,QTS,1
299,106.00296,-5.92297,QTS,1
300,114.40022,-8.14688,QTS,1
301,114.40022,-8.14715,QTS,1
302,114.40022,-8.14741,QTS,1
303,114.40026,-8.14754,QTS,1
304,114.40043,-8.14775,QTS,1
305,106.01733,-5.89777,QTS,1
306,106.0041,-5.92255,QTS,1
307,106.00369,-5.92261,QTS,1
308,106.00317,-5.92278,QTS,1
309,114.40005,-8.14683,QTS,1
310,114.40006,-8.14719,QTS,1
311,114.40006,-8.14736,QTS,1
312,114.40017,-8.14766,QTS,1
313,114.40025,-8.14779,QTS,1
314,106.00341,-5.92247,QTS,1
315,106.0019,-5.92284,QTS,1
316,114.39965,-8.14672,QTS,1
317,114.39994,-8.14691,QTS,1
318,114.39994,-8.1471,QTS,1
319,114.39995,-8.14747,QTS,1
320,114.40001,-8.14764,QTS,1
321,114.4002,-8.14792,QTS,1
322,114.40067,-8.15081,QTS,1
323,106.00347,-5.92228,QTS,1
324,106.00325,-5.92246,QTS,1
325,114.39976,-8.14687,QTS,1
326,114.3998,-8.14714,QTS,1
327,114.39977,-8.14742,QTS,1
328,114.4,-8.14795,QTS,1
