coverage_id,tiv
1,79000000
2,79000000
3,79000000
4,79000000
5,79000000
6,79000000
7,79000000
8,79000000
9,79000000
10,79000000
11,79000000
12,79000000
13,79000000
14,79000000
15,79000000
16,79000000
17,79000000
18,79000000
19,79000000
20,79000000
21,79000000
22,79000000
23,79000000
24,79000000
25,79000000
26,79000000
27,79000000
28,79000000
29,79000000
30,79000000
31,79000000
32,79000000
33,79000000
34,79000000
35,79000000
36,79000000
37,79000000
38,79000000
39,79000000
40,79000000
41,79000000
42,79000000
43,79000000
44,79000000
45,79000000
46,79000000
47,79000000
48,79000000
49,79000000
50,79000000
51,79000000
52,79000000
53,79000000
54,79000000
55,79000000
56,79000000
57,79000000
58,79000000
59,79000000
60,79000000
61,79000000
62,79000000
63,79000000
64,79000000
65,79000000
66,79000000
67,79000000
68,79000000
69,79000000
70,79000000
71,79000000
72,79000000
73,79000000
74,79000000
75,79000000
76,79000000
77,79000000
78,79000000
79,79000000
80,79000000
81,79000000
82,79000000
83,79000000
84,79000000
85,79000000
86,79000000
87,79000000
88,79000000
89,79000000
90,79000000
91,79000000
92,79000000
93,79000000
94,79000000
95,79000000
96,79000000
97,79000000
98,79000000
99,79000000
100,79000000
101,79000000
102,79000000
103,79000000
104,79000000
105,79000000
106,79000000
107,79000000
108,79000000
109,79000000
110,79000000
111,79000000
112,79000000
113,79000000
114,79000000
115,79000000
116,79000000
117,79000000
118,79000000
119,79000000
120,79000000
121,79000000
122,79000000
123,79000000
124,79000000
125,79000000
126,79000000
127,79000000
128,79000000
129,79000000
130,79000000
131,79000000
132,79000000
133,79000000
134,79000000
135,79000000
136,79000000
137,79000000
138,79000000
139,79000000
140,79000000
141,79000000
142,79000000
143,79000000
144,79000000
145,79000000
146,79000000
147,79000000
148,79000000
149,79000000
150,79000000
151,79000000
152,79000000
153,166000000
154,166000000
155,166000000
156,166000000
157,166000000
158,166000000
159,166000000
160,166000000
161,166000000
162,166000000
163,166000000
164,166000000
165,166000000
166,166000000
167,166000000
168,166000000
169,166000000
170,166000000
171,166000000
172,166000000
173,166000000
174,166000000
175,166000000
176,166000000
177,166000000
178,166000000
179,166000000
180,166000000
181,166000000
182,166000000
183,166000000
184,166000000
185,166000000
186,166000000
187,166000000
188,166000000
189,166000000
190,166000000
191,166000000
192,166000000
193,166000000
194,166000000
195,166000000
196,166000000
197,166000000
198,166000000
199,166000000
200,166000000
201,166000000
202,166000000
203,166000000
204,166000000
205,166000000
206,166000000
207,166000000
208,166000000
209,166000000
210,166000000
211,166000000
212,166000000
213,166000000
214,166000000
215,166000000
216,166000000
217,166000000
218,166000000
219,166000000
220,166000000
221,166000000
222,166000000
223,166000000
224,166000000
225,166000000
226,166000000
227,166000000
228,166000000
229,166000000
230,166000000
231,166000000
232,166000000
233,166000000
234,166000000
235,166000000
236,166000000
237,166000000
238,166000000
239,166000000
240,166000000
241,166000000
242,166000000
243,166000000
244,166000000
245,166000000
246,166000000
247,166000000
248,166000000
249,166000000
250,166000000
251,166000000
252,166000000
253,166000000
254,166000000
255,166000000
256,166000000
257,166000000
258,166000000
259,166000000
260,166000000
261,166000000
262,166000000
263,166000000
264,166000000
265,166000000
266,166000000
267,166000000
268,166000000
269,166000000
270,166000000
271,166000000
272,166000000
273,166000000
274,166000000
275,166000000
276,166000000
277,166000000
278,166000000
279,166000000
280,166000000
281,166000000
282,166000000
283,166000000
284,166000000
285,166000000
286,166000000
287,166000000
288,166000000
289,166000000
290,166000000
291,166000000
292,166000000
293,166000000
294,166000000
295,166000000
296,166000000
297,166000000
298,166000000
299,166000000
300,166000000
301,166000000
302,166000000
303,166000000
304,166000000
305,166000000
306,166000000
307,166000000
308,166000000
309,166000000
310,166000000
311,166000000
312,166000000
313,166000000
314,166000000
315,166000000
316,166000000
317,166000000
318,166000000
319,166000000
320,166000000
