event_id,period_no,occ_year,occ_month,occ_day
1,13,13,1,1
2,15,15,1,1
3,39,39,1,1
4,41,41,1,1
5,57,57,1,1
6,61,61,1,1
7,78,78,1,1
8,82,82,1,1
9,92,92,1,1
10,94,94,1,1
11,109,109,1,1
12,115,115,1,1
13,130,130,1,1
14,145,145,1,1
15,226,226,1,1
16,230,230,1,1
17,240,240,1,1
18,261,261,1,1
19,303,303,1,1
20,323,323,1,1
21,328,328,1,1
22,353,353,1,1
23,366,366,1,1
24,376,376,1,1
25,379,379,1,1
26,380,380,1,1
27,408,408,1,1
28,419,419,1,1
29,424,424,1,1
30,433,433,1,1
31,438,438,1,1
32,492,492,1,1
33,505,505,1,1
34,516,516,1,1
35,553,553,1,1
36,566,566,1,1
37,590,590,1,1
38,598,598,1,1
39,600,600,1,1
40,604,604,1,1
41,614,614,1,1
42,618,618,1,1
43,633,633,1,1
44,639,639,1,1
45,642,642,1,1
46,651,651,1,1
47,665,665,1,1
48,703,703,1,1
49,720,720,1,1
50,724,724,1,1
51,726,726,1,1
52,736,736,1,1
53,760,760,1,1
54,797,797,1,1
55,800,800,1,1
56,823,823,1,1
57,848,848,1,1
58,858,858,1,1
59,868,868,1,1
60,880,880,1,1
61,913,913,1,1
62,922,922,1,1
63,927,927,1,1
64,937,937,1,1
65,957,957,1,1
66,961,961,1,1
67,962,962,1,1
68,975,975,1,1
69,985,985,1,1
70,1001,1001,1,1
71,1017,1017,1,1
72,1025,1025,1,1
73,1050,1050,1,1
74,1054,1054,1,1
75,1067,1067,1,1
76,1069,1069,1,1
77,1078,1078,1,1
78,1109,1109,1,1
79,1141,1141,1,1
80,1146,1146,1,1
81,1154,1154,1,1
82,1165,1165,1,1
83,1166,1166,1,1
84,1185,1185,1,1
85,1190,1190,1,1
86,1206,1206,1,1
87,1214,1214,1,1
88,1236,1236,1,1
89,1239,1239,1,1
90,1279,1279,1,1
91,1286,1286,1,1
92,1291,1291,1,1
93,1352,1352,1,1
94,1353,1353,1,1
95,1380,1380,1,1
96,1382,1382,1,1
97,1408,1408,1,1
98,1416,1416,1,1
99,1417,1417,1,1
100,1424,1424,1,1
101,1427,1427,1,1
102,1435,1435,1,1
103,1440,1440,1,1
104,1442,1442,1,1
105,1451,1451,1,1
106,1460,1460,1,1
107,1469,1469,1,1
108,1492,1492,1,1
109,1499,1499,1,1
110,1502,1502,1,1
111,1506,1506,1,1
112,1521,1521,1,1
113,1526,1526,1,1
114,1540,1540,1,1
115,1541,1541,1,1
116,1551,1551,1,1
117,1558,1558,1,1
118,1572,1572,1,1
119,1611,1611,1,1
120,1619,1619,1,1
121,1625,1625,1,1
122,1630,1630,1,1
123,1643,1643,1,1
124,1663,1663,1,1
125,1665,1665,1,1
126,1668,1668,1,1
127,1681,1681,1,1
128,1692,1692,1,1
129,1693,1693,1,1
130,1711,1711,1,1
131,1712,1712,1,1
132,1741,1741,1,1
133,1766,1766,1,1
134,1783,1783,1,1
135,1786,1786,1,1
136,1789,1789,1,1
137,1818,1818,1,1
138,1821,1821,1,1
139,1823,1823,1,1
140,1824,1824,1,1
141,1835,1835,1,1
142,1842,1842,1,1
143,1844,1844,1,1
144,1852,1852,1,1
145,1854,1854,1,1
146,1857,1857,1,1
147,1858,1858,1,1
148,1861,1861,1,1
149,1863,1863,1,1
150,1867,1867,1,1
151,1887,1887,1,1
152,1906,1906,1,1
153,1911,1911,1,1
154,1919,1919,1,1
155,1934,1934,1,1
156,1935,1935,1,1
157,1943,1943,1,1
158,1969,1969,1,1
159,1972,1972,1,1
160,1993,1993,1,1
161,1995,1995,1,1
162,2000,2000,1,1
163,2011,2011,1,1
164,2013,2013,1,1
165,2024,2024,1,1
166,2081,2081,1,1
167,2095,2095,1,1
168,2098,2098,1,1
169,2104,2104,1,1
170,2108,2108,1,1
171,2110,2110,1,1
172,2118,2118,1,1
173,2131,2131,1,1
174,2136,2136,1,1
175,2138,2138,1,1
176,2151,2151,1,1
177,2158,2158,1,1
178,2165,2165,1,1
179,2223,2223,1,1
180,2227,2227,1,1
181,2230,2230,1,1
182,2244,2244,1,1
183,2251,2251,1,1
184,2254,2254,1,1
185,2259,2259,1,1
186,2269,2269,1,1
187,2276,2276,1,1
188,2304,2304,1,1
189,2317,2317,1,1
190,2330,2330,1,1
191,2379,2379,1,1
192,2383,2383,1,1
193,2386,2386,1,1
194,2398,2398,1,1
195,2413,2413,1,1
196,2414,2414,1,1
197,2427,2427,1,1
198,2430,2430,1,1
199,2441,2441,1,1
200,2445,2445,1,1
201,2464,2464,1,1
202,2479,2479,1,1
203,2480,2480,1,1
204,2484,2484,1,1
205,2485,2485,1,1
206,2487,2487,1,1
207,2494,2494,1,1
208,2518,2518,1,1
209,2523,2523,1,1
210,2531,2531,1,1
211,2557,2557,1,1
212,2598,2598,1,1
213,2604,2604,1,1
214,2607,2607,1,1
215,2622,2622,1,1
216,2629,2629,1,1
217,2639,2639,1,1
218,2650,2650,1,1
219,2651,2651,1,1
220,2656,2656,1,1
221,2664,2664,1,1
222,2669,2669,1,1
223,2673,2673,1,1
224,2684,2684,1,1
225,2696,2696,1,1
226,2720,2720,1,1
227,2735,2735,1,1
228,2738,2738,1,1
229,2788,2788,1,1
230,2791,2791,1,1
231,2792,2792,1,1
232,2793,2793,1,1
233,2798,2798,1,1
234,2817,2817,1,1
235,2842,2842,1,1
236,2845,2845,1,1
237,2852,2852,1,1
238,2861,2861,1,1
239,2934,2934,1,1
240,2935,2935,1,1
241,2940,2940,1,1
242,2955,2955,1,1
243,2959,2959,1,1
244,2974,2974,1,1
245,2987,2987,1,1
246,3041,3041,1,1
247,3044,3044,1,1
248,3067,3067,1,1
249,3086,3086,1,1
250,3107,3107,1,1
251,3111,3111,1,1
252,3117,3117,1,1
253,3118,3118,1,1
254,3119,3119,1,1
255,3120,3120,1,1
256,3123,3123,1,1
257,3125,3125,1,1
258,3152,3152,1,1
259,3157,3157,1,1
260,3165,3165,1,1
261,3168,3168,1,1
262,3169,3169,1,1
263,3204,3204,1,1
264,3214,3214,1,1
265,3239,3239,1,1
266,3242,3242,1,1
267,3246,3246,1,1
268,3247,3247,1,1
269,3269,3269,1,1
