event_id,period_no,occ_year,occ_month,occ_day
479,5477,5477,1,1
514,5478,5478,1,1
506,5484,5484,1,1
720,5500,5500,1,1
360,5512,5512,1,1
127,5559,5559,1,1
221,5627,5627,1,1
575,5705,5705,1,1
569,5723,5723,1,1
704,5769,5769,1,1
528,5783,5783,1,1
386,5792,5792,1,1
113,5857,5857,1,1
314,5868,5868,1,1
24,5873,5873,1,1
418,5900,5900,1,1
200,5918,5918,1,1
564,5972,5972,1,1
385,6023,6023,1,1
423,6058,6058,1,1
296,6061,6061,1,1
556,6063,6063,1,1
358,6096,6096,1,1
675,6099,6099,1,1
318,6101,6101,1,1
724,6117,6117,1,1
207,6142,6142,1,1
421,6148,6148,1,1
447,6159,6159,1,1
259,6211,6211,1,1
179,6268,6268,1,1
347,6283,6283,1,1
489,6346,6346,1,1
262,6379,6379,1,1
256,6427,6427,1,1
172,6433,6433,1,1
338,6466,6466,1,1
21,6520,6520,1,1
273,6525,6525,1,1
531,6527,6527,1,1
55,6554,6554,1,1
157,6628,6628,1,1
53,6630,6630,1,1
718,6631,6631,1,1
295,6634,6634,1,1
408,6646,6646,1,1
116,6662,6662,1,1
455,6720,6720,1,1
348,6752,6752,1,1
92,6753,6753,1,1
111,6761,6761,1,1
333,6766,6766,1,1
69,6793,6793,1,1
340,6799,6799,1,1
263,6814,6814,1,1
716,6815,6815,1,1
647,6819,6819,1,1
534,6830,6830,1,1
291,6831,6831,1,1
362,6836,6836,1,1
355,6842,6842,1,1
576,6844,6844,1,1
227,6893,6893,1,1
84,6899,6899,1,1
160,6900,6900,1,1
211,6907,6907,1,1
503,6969,6969,1,1
452,6990,6990,1,1
135,7073,7073,1,1
643,7074,7074,1,1
238,7089,7089,1,1
236,7097,7097,1,1
518,7098,7098,1,1
456,7131,7131,1,1
186,7172,7172,1,1
665,7175,7175,1,1
129,7190,7190,1,1
97,7202,7202,1,1
187,7205,7205,1,1
6,7214,7214,1,1
539,7228,7228,1,1
205,7239,7239,1,1
441,7240,7240,1,1
222,7247,7247,1,1
108,7257,7257,1,1
51,7258,7258,1,1
204,7275,7275,1,1
482,7313,7313,1,1
618,7347,7347,1,1
624,7349,7349,1,1
555,7350,7350,1,1
676,7366,7366,1,1
86,7407,7407,1,1
552,7431,7431,1,1
57,7435,7435,1,1
264,7446,7446,1,1
431,7447,7447,1,1
330,7460,7460,1,1
215,7471,7471,1,1
45,7499,7499,1,1
562,7538,7538,1,1
17,7547,7547,1,1
98,7580,7580,1,1
538,7589,7589,1,1
432,7607,7607,1,1
655,7656,7656,1,1
190,7658,7658,1,1
450,7686,7686,1,1
188,7690,7690,1,1
586,7706,7706,1,1
371,7736,7736,1,1
298,7764,7764,1,1
585,7782,7782,1,1
271,7807,7807,1,1
594,7812,7812,1,1
209,7846,7846,1,1
694,7849,7849,1,1
600,7850,7850,1,1
123,7878,7878,1,1
391,7890,7890,1,1
5,7891,7891,1,1
523,7895,7895,1,1
304,7901,7901,1,1
11,7913,7913,1,1
166,7923,7923,1,1
284,7931,7931,1,1
76,7939,7939,1,1
700,8002,8002,1,1
637,8030,8030,1,1
68,8041,8041,1,1
158,8130,8130,1,1
639,8143,8143,1,1
250,8151,8151,1,1
698,8156,8156,1,1
390,8174,8174,1,1
568,8185,8185,1,1
43,8226,8226,1,1
593,8239,8239,1,1
3,8249,8249,1,1
477,8307,8307,1,1
352,8313,8313,1,1
706,8363,8363,1,1
170,8397,8397,1,1
237,8420,8420,1,1
598,8425,8425,1,1
372,8447,8447,1,1
409,8526,8526,1,1
414,8569,8569,1,1
138,8570,8570,1,1
258,8581,8581,1,1
140,8587,8587,1,1
526,8600,8600,1,1
80,8628,8628,1,1
491,8671,8671,1,1
580,8699,8699,1,1
350,8779,8779,1,1
